Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	74	100	130	150	166	187	206	224	245
Troughs	87	117	139	158	179	198	217	237	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	7.533725	-0.971888	12.580211
Point2	7.393324	-0.995321	12.512644
Point3	7.459251	-1.030802	12.388541
Point4	7.409809	-0.968869	12.401012
Point5	7.417081	-0.932166	12.367018
Point6	7.375418	-1.038328	12.302507
Point7	7.408909	-0.997601	12.296639
Point8	7.338957	-0.954858	12.316553
Point9	7.364816	-0.860964	12.290985

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	7.235199	-1.34841	11.849449
Point2	7.346874	-1.129352	11.955444
Point3	7.30415	-1.167844	11.914804
Point4	7.322347	-1.116817	11.923476
Point5	7.310115	-1.203021	11.856849
Point6	7.300848	-1.164039	11.896099
Point7	7.242692	-1.10995	11.851136
Point8	7.219231	-1.00878	11.821142
