Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	82	119	160	199	241	280	323	363	402
Troughs	103	142	181	220	262	301	342	384	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.545226	-3.001421	9.09599
Point2	9.438883	-3.016064	9.108047
Point3	9.272651	-3.111978	8.975652
Point4	9.333166	-3.101095	8.972768
Point5	9.362051	-3.097747	9.184468
Point6	9.684509	-3.156766	9.05792
Point7	9.751636	-3.039956	8.931895
Point8	9.435318	-3.107204	9.141638
Point9	9.228444	-3.059241	9.255891

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.202744	-4.020305	7.254407
Point2	9.21364	-4.049109	7.033491
Point3	9.090231	-4.026382	7.045563
Point4	8.837131	-3.967611	6.956323
Point5	9.019985	-4.043784	7.088979
Point6	9.372448	-3.822467	6.969897
Point7	9.289324	-3.821251	7.191403
Point8	8.856441	-4.01189	7.227898
