Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	52	75	103	129	154	181	207	235	263
Troughs	62	87	114	140	166	192	219	248	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	14.302851	-6.641415	9.641457
Point2	14.265743	-6.445031	9.778654
Point3	14.278701	-6.398711	9.40748
Point4	14.147274	-6.621454	9.23615
Point5	14.289956	-6.487102	9.168358
Point6	14.141515	-6.404351	9.229854
Point7	14.344741	-6.478257	8.969586
Point8	14.340864	-6.456514	9.016425
Point9	14.312677	-6.446324	9.11724

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	14.095744	-7.087763	8.416032
Point2	14.382739	-6.930835	7.942513
Point3	14.056714	-7.001176	7.98481
Point4	14.042158	-7.096658	7.968936
Point5	14.053907	-7.103563	7.949104
Point6	14.133835	-6.962904	7.965492
Point7	14.360875	-6.919621	7.762312
Point8	14.022799	-6.955695	7.917899
