Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	75	97	122	144	167	191	216	238	260
Troughs	86	109	133	156	180	202	227	250	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	8.437133	-6.69149	8.24872
Point2	8.394024	-6.584656	8.150364
Point3	8.473318	-6.635438	8.215742
Point4	8.610686	-6.804218	8.168011
Point5	8.69599	-6.818771	8.075234
Point6	8.678772	-6.883258	8.119188
Point7	8.728957	-6.802189	8.251557
Point8	8.839773	-6.780291	8.604056
Point9	8.688079	-6.76377	8.425349

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.024119	-6.635707	6.753079
Point2	9.036897	-6.570598	6.664466
Point3	9.025496	-6.612523	6.78165
Point4	9.276602	-6.729381	6.707007
Point5	9.317692	-6.784553	6.577677
Point6	9.381112	-6.734208	6.491955
Point7	9.337267	-6.764164	7.05217
Point8	9.391492	-6.753934	6.947958
