Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	82	126	163	201	240	279	319	358	399
Troughs	105	146	182	221	261	300	339	378	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	11.845075	-6.241611	8.740886
Point2	11.855355	-6.154694	8.828595
Point3	11.887879	-6.069639	8.92167
Point4	11.924884	-6.096531	8.873778
Point5	11.833861	-6.082208	8.863357
Point6	11.817166	-6.069499	8.951607
Point7	11.847994	-6.079359	8.921356
Point8	12.009933	-6.070265	8.865623
Point9	11.898403	-6.00784	8.857228

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	11.808602	-6.553373	7.676911
Point2	11.894345	-6.598338	7.681993
Point3	11.946135	-6.507859	7.729781
Point4	11.915091	-6.56885	7.671355
Point5	11.835306	-6.466284	7.775587
Point6	11.791542	-6.437115	7.77107
Point7	11.964147	-6.33762	7.68723
Point8	11.947515	-6.373367	7.611271
