Column: 3
Axis: Z
Fallback Frames: 1

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	162	174	187	198	211	224	237	249	263
Troughs	168	180	193	205	217	230	243	256	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.37195	-3.398833	11.084452
Point2	9.375671	-3.445046	11.099708
Point3	9.398079	-3.5639	11.123738
Point4	9.21487	-3.477992	11.049873
Point5	9.224635	-3.481925	11.108267
Point6	9.264632	-3.402502	11.127414
Point7	9.370079	-3.387295	11.13508
Point8	9.260669	-3.392645	11.102021
Point9	9.279612	-3.32736	11.18706

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.442054	-3.481587	10.456946
Point2	9.438211	-3.512179	10.529997
Point3	9.334923	-3.579028	10.612148
Point4	9.268746	-3.53164	10.565703
Point5	9.322163	-3.47875	10.552276
Point6	9.382755	-3.473174	10.453354
Point7	9.325971	-3.422196	10.63211
Point8	9.327608	-3.374939	10.624826
