Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	58	103	140	181	218	260	300	342	380
Troughs	79	120	163	201	241	280	323	362	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	11.073281	-7.341728	8.269879
Point2	11.499354	-7.688793	8.060727
Point3	11.357623	-7.359596	8.216827
Point4	11.334283	-7.327165	8.18408
Point5	11.428951	-7.482679	8.110351
Point6	11.298787	-7.412164	8.233728
Point7	11.317071	-7.457942	8.182675
Point8	11.409345	-7.349306	8.201542
Point9	11.326883	-7.3849	8.212655

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	11.374881	-7.646804	7.294045
Point2	11.434524	-7.699276	7.441896
Point3	11.453491	-7.760468	7.424117
Point4	11.443019	-7.724681	7.366174
Point5	11.461252	-7.768025	7.311293
Point6	11.481886	-7.714953	7.308833
Point7	11.585499	-7.680332	7.248462
Point8	11.536803	-7.657213	7.230182
