Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	61	89	113	139	167	194	219	243	269
Troughs	74	100	125	152	180	206	231	254	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.580629	-2.627282	9.006012
Point2	9.447819	-2.518585	8.965728
Point3	9.433229	-2.620343	8.865955
Point4	9.476364	-2.677196	8.889758
Point5	9.406693	-2.645743	8.94576
Point6	9.3159	-2.532641	9.175993
Point7	9.551321	-2.814338	8.995055
Point8	9.39446	-2.619009	9.11824
Point9	9.172724	-2.443259	9.371323

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.904382	-3.035615	7.728825
Point2	9.888851	-3.036299	7.693054
Point3	9.91112	-3.002459	7.751431
Point4	9.970663	-3.044312	7.753158
Point5	9.875115	-3.063091	7.725041
Point6	9.918867	-3.07759	7.838994
Point7	9.91747	-3.22232	7.808767
Point8	9.739005	-3.003035	7.814451
