Column: 3
Axis: Z
Fallback Frames: 1

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	57	74	91	109	130	146	164	181	199
Troughs	66	82	101	119	138	155	172	191	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	8.804335	-4.147237	8.249635
Point2	8.807271	-4.174144	8.143865
Point3	8.795634	-4.016984	8.271394
Point4	8.794286	-4.300164	7.987999
Point5	8.817911	-4.233963	7.969448
Point6	8.828049	-4.312116	7.878081
Point7	8.807817	-4.099584	8.012343
Point8	8.828335	-4.069939	8.143374
Point9	8.810171	-4.225229	7.999925

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	8.873513	-4.698149	7.350425
Point2	8.876483	-4.664449	7.346193
Point3	8.909758	-4.690467	7.257633
Point4	8.892816	-4.790035	7.100761
Point5	8.867321	-4.76781	7.162051
Point6	8.916466	-4.742865	7.048379
Point7	8.911201	-4.483395	7.419614
Point8	8.908055	-4.586418	7.378388
