Column: 3
Axis: Z
Fallback Frames: 0

Inflection point type	Point1	Point2	Point3	Point4	Point5	Point6	Point7	Point8	Point9
Crests	53	87	116	143	170	201	229	259	292
Troughs	69	102	129	157	186	215	245	277	

Crest Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.421051	-5.430207	10.052066
Point2	9.473068	-5.41879	10.215186
Point3	9.367105	-5.556171	10.18827
Point4	9.434096	-5.519622	10.158715
Point5	9.447682	-5.581234	10.114665
Point6	9.368378	-5.617219	10.155537
Point7	9.500681	-5.599055	10.049134
Point8	9.501678	-5.521735	10.159051
Point9	9.502952	-5.590684	9.989768

Trough Points	Coordinate (x)	Coordinate (y)	Coordinate (z)
Point1	9.419527	-5.711427	9.467275
Point2	9.297551	-5.736768	9.479703
Point3	9.461702	-5.762261	9.467881
Point4	9.478129	-5.790999	9.499974
Point5	9.46528	-5.740232	9.556205
Point6	9.440728	-5.811325	9.474701
Point7	9.558314	-5.752505	9.408101
Point8	9.595608	-5.828645	9.278715
